143, 2020-08-09 14 4 0 5;
144, 2020-08-10 180 28 14 151;
145, 2020-08-11 191 21 15 194;
146, 2020-08-12 143 17 18 241;
147, 2020-08-13 201 25 17 203;
148, 2020-08-14 173 20 19 191;
149, 2020-08-15 87 15 4 49;
150, 2020-08-16 33 2 1 29;
151, 2020-08-17 234 34 19 148;
152, 2020-08-18 185 28 17 255;
153, 2020-08-19 162 31 17 161;
154, 2020-08-20 149 28 12 187;
155, 2020-08-21 210 37 23 189;
156, 2020-08-22 114 10 12 139;
157, 2020-08-23 29 6 1 24;
158, 2020-08-24 233 43 15 232;
159, 2020-08-25 265 49 22 334;
160, 2020-08-26 215 21 19 242;
161, 2020-08-27 225 32 15 225;
162, 2020-08-28 241 32 19 204;
163, 2020-08-29 135 28 6 127;
164, 2020-08-30 23 5 4 13;
165, 2020-08-31 254 45 29 163;
166, 2020-09-01 300 54 19 252;
167, 2020-09-02 317 57 26 258;
168, 2020-09-03 307 55 21 252;
169, 2020-09-04 292 46 19 247;
170, 2020-09-05 168 23 12 137;
171, 2020-09-06 66 8 3 29;
172, 2020-09-07 448 83 25 236;
173, 2020-09-08 490 86 39 402;
174, 2020-09-09 386 71 30 304;
175, 2020-09-10 352 54 19 229;
176, 2020-09-11 447 64 40 332;
177, 2020-09-12 243 51 17 180;
178, 2020-09-13 98 18 6 40;
179, 2020-09-14 545 104 34 247;
180, 2020-09-15 642 117 37 397;
181, 2020-09-16 649 100 46 450;
182, 2020-09-17 599 81 50 514;
183, 2020-09-18 850 100 123 754;
184, 2020-09-19 470 73 26 753;
185, 2020-09-20 139 24 12 266;
186, 2020-09-21 754 143 53 440;
187, 2020-09-22 783 130 68 538;
188, 2020-09-23 649 124 43 459;
189, 2020-09-24 613 124 53 456;
190, 2020-09-25 661 129 56 496;
191, 2020-09-26 503 89 41 422;
192, 2020-09-27 241 47 27 126;
193, 2020-09-28 619 137 81 356;
194, 2020-09-29 698 165 59 565;
195, 2020-09-30 650 135 64 482;
196, 2020-10-01 626 142 63 485;
197, 2020-10-02 721 120 48 527;
198, 2020-10-03 532 103 49 463;
199, 2020-10-04 418 91 32 148;
200, 2020-10-05 710 152 70 316;
201, 2020-10-06 829 168 65 636;
202, 2020-10-07 789 143 80 545;
203, 2020-10-08 711 114 77 524;
204, 2020-10-09 848 150 62 534;
205, 2020-10-10 694 110 54 495;
206, 2020-10-11 503 73 46 184;
207, 2020-10-12 976 171 96 417;
208, 2020-10-13 1168 226 87 802;
209, 2020-10-14 1133 193 104 755;
210, 2020-10-15 1207 219 88 687;
211, 2020-10-16 1225 212 122 637;
212, 2020-10-17 986 175 90 506;
213, 2020-10-18 835 147 85 245;
214, 2020-10-19 1424 269 146 517;
215, 2020-10-20 1943 278 163 923;
216, 2020-10-21 1754 284 166 825;
217, 2020-10-22 1998 262 165 974;
218, 2020-10-23 2091 299 184 908;
219, 2020-10-24 1667 233 138 845;
220, 2020-10-25 1298 191 116 344;
221, 2020-10-26 2314 357 258 712;
222, 2020-10-27 2988 431 292 1407;
223, 2020-10-28 2821 372 244 1304;
224, 2020-10-29 2607 395 250 1364;
225, 2020-10-30 2563 422 256 1293;
226, 2020-10-31 2274 339 224 1125;
